Employee_ID,Age,Gender,Education_Level,Industry,Job_Role,Years_Experience,AI_Adoption_Level,Automation_Risk,Upskilling_Required,Salary_Before_AI,Salary_After_AI,Job_Status,Work_Hours_Per_Week,Remote_Work,Job_Satisfaction,Productivity_Change_Pct,Salary_Change,Salary_Change_Pct,Risk_Score,AI_Score,Edu_Score,Age_Group,Salary_Bracket,Is_Replaced,Is_Modified,Is_Upskilled,Is_Remote,Vulnerability_Index,Risk_Label,Salary_Impact
E1231,50,Other,PhD,Marketing,Digital Marketer,28,Low,High,No,104051,107806,Unchanged,51,Yes,4,18.24,3755,3.61,3,1,4,41-50,100k+,0,0,0,1,8.5,CRITICAL,"+$3,755"
E1369,52,Other,PhD,Marketing,SEO Specialist,29,Low,High,No,94892,98329,Unchanged,46,Yes,4,4.14,3437,3.62,3,1,4,51-60,75-100k,0,0,0,1,8.5,CRITICAL,"+$3,437"
E1451,33,Female,Master,Finance,Auditor,9,Low,High,No,65050,70502,Unchanged,50,No,6,8.23,5452,8.38,3,1,3,31-40,50-75k,0,0,0,0,8.5,CRITICAL,"+$5,452"
E1528,52,Female,PhD,Education,Administrator,26,Low,High,No,33810,35508,Unchanged,51,No,8,33.75,1698,5.02,3,1,4,51-60,<50k,0,0,0,0,8.5,CRITICAL,"+$1,698"
E1533,57,Male,PhD,IT,Software Engineer,33,Low,High,No,79116,82604,Unchanged,42,Yes,9,-1.91,3488,4.41,3,1,4,51-60,75-100k,0,0,0,1,8.5,CRITICAL,"+$3,488"
E1727,35,Male,Master,Finance,Accountant,13,Low,High,No,46267,44327,Unchanged,54,No,7,-19.27,-1940,-4.19,3,1,3,31-40,<50k,0,0,0,0,8.5,CRITICAL,"-$1,940"
E1796,35,Female,Master,IT,DevOps Engineer,13,Low,High,No,113301,111030,Unchanged,35,No,3,-5.46,-2271,-2.0,3,1,3,31-40,100k+,0,0,0,0,8.5,CRITICAL,"-$2,271"
E0052,25,Male,PhD,Education,Professor,0,Low,High,No,88335,90958,Unchanged,42,No,6,12.44,2623,2.97,3,1,4,22-30,75-100k,0,0,0,0,8.0,CRITICAL,"+$2,623"
E0174,30,Male,PhD,Education,Professor,7,Low,High,No,31524,31576,Unchanged,35,Yes,3,1.09,52,0.16,3,1,4,22-30,<50k,0,0,0,1,8.0,CRITICAL,+$52
E0208,38,Other,PhD,Healthcare,Nurse,15,Low,High,No,42987,40896,Unchanged,50,Yes,8,29.12,-2091,-4.86,3,1,4,31-40,<50k,0,0,0,1,8.0,CRITICAL,"-$2,091"
E0315,44,Male,PhD,Healthcare,Doctor,18,Low,High,No,77684,82392,Unchanged,39,Yes,7,10.73,4708,6.06,3,1,4,41-50,75-100k,0,0,0,1,8.0,CRITICAL,"+$4,708"
E0427,44,Other,PhD,Education,Teacher,20,Low,High,No,94386,93947,Unchanged,53,No,4,-4.44,-439,-0.47,3,1,4,41-50,75-100k,0,0,0,0,8.0,CRITICAL,-$439
E0577,24,Female,PhD,Manufacturing,Quality Inspector,0,Low,High,No,103933,104544,Unchanged,38,No,5,-15.88,611,0.59,3,1,4,22-30,100k+,0,0,0,0,8.0,CRITICAL,+$611
E0708,32,Male,PhD,Marketing,SEO Specialist,6,Low,High,No,70130,70035,Unchanged,51,Yes,8,20.59,-95,-0.14,3,1,4,31-40,50-75k,0,0,0,1,8.0,CRITICAL,-$95
E1003,33,Male,PhD,Retail,Sales Associate,7,Low,High,No,54845,55704,Unchanged,51,No,4,-1.38,859,1.57,3,1,4,31-40,50-75k,0,0,0,0,8.0,CRITICAL,+$859
E1070,23,Female,PhD,Marketing,Digital Marketer,0,Low,High,No,105164,101767,Unchanged,52,Yes,8,25.39,-3397,-3.23,3,1,4,22-30,100k+,0,0,0,1,8.0,CRITICAL,"-$3,397"
E1075,29,Other,PhD,Retail,Cashier,5,Low,High,No,81952,78524,Unchanged,36,No,8,30.19,-3428,-4.18,3,1,4,22-30,75-100k,0,0,0,0,8.0,CRITICAL,"-$3,428"
E1696,22,Male,PhD,Education,Teacher,0,Low,High,No,98879,103427,Unchanged,43,Yes,6,36.36,4548,4.6,3,1,4,22-30,75-100k,0,0,0,1,8.0,CRITICAL,"+$4,548"
E1741,29,Other,PhD,Finance,Investment Analyst,4,Low,High,No,89719,85395,Unchanged,50,Yes,3,-17.94,-4324,-4.82,3,1,4,22-30,75-100k,0,0,0,1,8.0,CRITICAL,"-$4,324"
E1857,39,Female,PhD,Retail,Store Manager,14,Low,High,No,69925,66833,Unchanged,48,No,9,-12.3,-3092,-4.42,3,1,4,31-40,50-75k,0,0,0,0,8.0,CRITICAL,"-$3,092"
